ageGroup,virus,V1,V2,V3,SARS2W,SARS2A,SARS2D,SARS2O,V1_SARS2W,V1_SARS2A,V1_SARS2D,V1_SARS2O,V2_SARS2W,V2_SARS2A,V2_SARS2D,V2_SARS2O,V3_SARS2W,V3_SARS2A,V3_SARS2D,V3_SARS2O
10-15,omicron,0.19369066076351102,0.25530655375916234,0.31692246375916244,0.4419107837591624,0.23417085375916238,0.3468662337591623,1,0.7412717637591623,0.3530167337591623,0.3974683737591624,1,0.4927324037591624,0.4788361237591624,0.7450147537591626,1,0.24419304375916231,0.6046555137591624,1,1
15-20,omicron,0.21685811171194766,0.27847400470759903,0.3400899147075991,0.46507823470759907,0.25733830470759894,0.37003368470759895,1,0.7644392147075989,0.3761841847075989,0.42063582470759897,1,0.515899854707599,0.502003574707599,0.7681822047075992,1,0.26736049470759893,0.627822964707599,1,1
20-25,omicron,0.23864473195547675,0.30026062495112815,0.3618765349511281,0.48686485495112813,0.2791249249511281,0.3918203049511281,1,0.7862258349511281,0.39797080495112797,0.4424224449511281,1,0.5376864749511281,0.5237901949511282,0.7899688249511283,1,0.28914711495112805,0.6496095849511282,1,1
25-30,omicron,0.25950864693447406,0.32112453993012546,0.38274044993012546,0.5077287699301255,0.2999888399301254,0.4126842199301254,1,0.8070897499301253,0.41883471993012533,0.4632863599301254,1,0.5585503899301254,0.5446541099301254,0.8108327399301255,1,0.31001102993012536,0.6704734999301255,1,1
30-35,omicron,0.2791976744334284,0.3408135674290797,0.40242947742907975,0.5274177974290798,0.3196778674290797,0.4323732474290797,1,0.8267787774290797,0.4385237474290797,0.48297538742907975,1,0.5782394174290797,0.5643431374290798,0.8305217674290798,1,0.3297000574290797,0.6901625274290798,1,1
35-40,omicron,0.2974133505681166,0.359029243563768,0.4206451535637679,0.545633473563768,0.337893543563768,0.4505889235637679,1,0.8449944535637679,0.4567394235637679,0.501191063563768,1,0.5964550935637679,0.582558813563768,0.848737443563768,1,0.3479157335637679,0.708378203563768,1,1
40-45,omicron,0.3136357288183526,0.37525162181400396,0.43686753181400395,0.561855851814004,0.3541159218140039,0.4668113018140039,1,0.8612168318140039,0.4729618018140039,0.517413441814004,1,0.6126774718140039,0.598781191814004,0.864959821814004,1,0.3641381118140039,0.7246005818140039,1,1
45-50,omicron,0.32687042241706704,0.38848631541271844,0.45010222541271844,0.5750905454127184,0.3673506154127184,0.4800459954127184,1,0.8744515254127183,0.48619649541271837,0.5306481354127184,1,0.6259121654127184,0.6120158854127186,0.8781945154127185,1,0.3773728054127184,0.7378352754127184,1,1
50-55,omicron,0.3360670564156296,0.397682949411281,0.45929885941128107,0.5842871794112809,0.376547249411281,0.48924262941128094,1,0.8836481594112808,0.49539312941128094,0.539844769411281,1,0.635108799411281,0.6212125194112811,0.8873911494112812,1,0.38656943941128097,0.7470319094112811,1,1
55-60,omicron,0.3397455505785879,0.40136144357423925,0.46297735357423936,0.5879656735742393,0.38022574357423933,0.4929211235742393,1,0.8873266535742391,0.49907162357423923,0.5435232635742392,1,0.6387872935742394,0.6248910135742394,0.8910696435742393,1,0.3902479335742392,0.7507104035742392,1,1
60-65,omicron,0.3354625529049082,0.3970784459005596,0.4586943559005596,0.5836826759005597,0.3759427459005596,0.48863812590055955,1,0.8830436559005594,0.4947886259005595,0.5392402659005595,1,0.6345042959005596,0.6206080159005597,0.8867866459005598,1,0.3859649359005595,0.7464274059005596,1,1
65-70,omicron,0.3195543181889806,0.381170211184632,0.442786121184632,0.567774441184632,0.360034511184632,0.472729891184632,1,0.8671354211846318,0.4788803911846319,0.523332031184632,1,0.6185960611846321,0.6046997811846321,0.8708784111846322,1,0.37005670118463196,0.7305191711846319,1,1
70-75,omicron,0.29048529139392903,0.3521011843895804,0.41371709438958043,0.5387054143895804,0.3309654843895804,0.44366086438958036,1,0.8380663943895803,0.44981136438958036,0.4942630043895804,1,0.5895270343895803,0.5756307543895806,0.8418093843895805,1,0.3409876743895804,0.7014501443895804,1,1
75+,omicron,0.19839146874086355,0.26000736173651495,0.32162327173651495,0.44661159173651493,0.2388716617365149,0.3515670417365149,1,0.7459725717365149,0.3577175417365148,0.4021691817365149,1,0.4974332117365149,0.48353693173651496,0.7497155617365151,1,0.24889385173651488,0.6093563217365149,1,1
