ageGroup,virus,V1,V2,V3,SARS2W,SARS2A,SARS2D,SARS2O,V1_SARS2W,V1_SARS2A,V1_SARS2D,V1_SARS2O,V2_SARS2W,V2_SARS2A,V2_SARS2D,V2_SARS2O,V3_SARS2W,V3_SARS2A,V3_SARS2D,V3_SARS2O
0-5,alpha,0.7982969995617015,0.8648047222275065,0.9998511948464438,0.8631389035769066,0.8631389035769066,0.8631389035769066,0.8631389035769066,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438
5-10,alpha,0.8210093895339936,0.8875171121997987,1,0.8858512935491988,0.8858512935491988,0.8858512935491988,0.8858512935491988,1,1,1,1,1,1,1,1,1,1,1,1
10-15,alpha,0.8436671016989623,0.9101748243647673,1,0.9085090057141675,0.9085090057141675,0.9085090057141675,0.9085090057141675,1,1,1,1,1,1,1,1,1,1,1,1
15-20,alpha,0.866834552647399,0.933342275313204,1,0.9316764566626041,0.9316764566626041,0.9316764566626041,0.9316764566626041,1,1,1,1,1,1,1,1,1,1,1,1
20-25,alpha,0.8886211728909281,0.9551288955567331,1,0.9534630769061332,0.9534630769061332,0.9534630769061332,0.9534630769061332,1,1,1,1,1,1,1,1,1,1,1,1
25-30,alpha,0.9094850878699253,0.9759928105357303,1,0.9743269918851305,0.9743269918851305,0.9743269918851305,0.9743269918851305,1,1,1,1,1,1,1,1,1,1,1,1
30-35,alpha,0.9291741153688796,0.9950331660004006,1,0.9936875555631411,0.9936875555631411,0.9936875555631411,0.9936875555631411,1,1,1,1,1,1,1,1,1,1,1,1
35-40,alpha,0.9473897915035678,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40-45,alpha,0.9636121697538038,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45-50,alpha,0.9768468633525185,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50-55,alpha,0.986043497351081,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55-60,alpha,0.9897219915140392,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
60-65,alpha,0.9854389938403594,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65-70,alpha,0.9695307591244319,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70-75,alpha,0.9404617323293804,0.9978776436891282,1,0.997305007577347,0.997305007577347,0.997305007577347,0.997305007577347,1,1,1,1,1,1,1,1,1,1,1,1
75+,alpha,0.8483679096763148,0.9148756323421199,1,0.9132098136915201,0.9132098136915201,0.9132098136915201,0.9132098136915201,1,1,1,1,1,1,1,1,1,1,1,1
0-5,delta,0.7982969995617015,0.8648047222275065,0.9998511948464438,0.8631389035769066,0.8631389035769066,0.8631389035769066,0.8631389035769066,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438
5-10,delta,0.8210093895339936,0.8875171121997987,1,0.8858512935491988,0.8858512935491988,0.8858512935491988,0.8858512935491988,1,1,1,1,1,1,1,1,1,1,1,1
10-15,delta,0.8436671016989623,0.9101748243647673,1,0.9085090057141675,0.9085090057141675,0.9085090057141675,0.9085090057141675,1,1,1,1,1,1,1,1,1,1,1,1
15-20,delta,0.866834552647399,0.933342275313204,1,0.9316764566626041,0.9316764566626041,0.9316764566626041,0.9316764566626041,1,1,1,1,1,1,1,1,1,1,1,1
20-25,delta,0.8886211728909281,0.9551288955567331,1,0.9534630769061332,0.9534630769061332,0.9534630769061332,0.9534630769061332,1,1,1,1,1,1,1,1,1,1,1,1
25-30,delta,0.9094850878699253,0.9759928105357303,1,0.9743269918851305,0.9743269918851305,0.9743269918851305,0.9743269918851305,1,1,1,1,1,1,1,1,1,1,1,1
30-35,delta,0.9291741153688796,0.9950331660004006,1,0.9936875555631411,0.9936875555631411,0.9936875555631411,0.9936875555631411,1,1,1,1,1,1,1,1,1,1,1,1
35-40,delta,0.9473897915035678,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40-45,delta,0.9636121697538038,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45-50,delta,0.9768468633525185,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50-55,delta,0.986043497351081,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55-60,delta,0.9897219915140392,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
60-65,delta,0.9854389938403594,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65-70,delta,0.9695307591244319,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70-75,delta,0.9404617323293804,0.9978776436891282,1,0.997305007577347,0.997305007577347,0.997305007577347,0.997305007577347,1,1,1,1,1,1,1,1,1,1,1,1
75+,delta,0.8483679096763148,0.9148756323421199,1,0.9132098136915201,0.9132098136915201,0.9132098136915201,0.9132098136915201,1,1,1,1,1,1,1,1,1,1,1,1
0-5,omicron,0.7678401467698224,0.8422234272401834,0.9998511948464438,0.7695322457843384,0.7695322457843384,0.7695322457843384,0.7695322457843384,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438
5-10,omicron,0.7905525367421145,0.8649358172124756,1,0.7922446357566306,0.7922446357566306,0.7922446357566306,0.7922446357566306,1,1,1,1,1,1,1,1,1,1,1,1
10-15,omicron,0.8132102489070833,0.8875935293774442,1,0.8149023479215993,0.8149023479215993,0.8149023479215993,0.8149023479215993,1,1,1,1,1,1,1,1,1,1,1,1
15-20,omicron,0.8363776998555198,0.9107609803258809,1,0.838069798870036,0.838069798870036,0.838069798870036,0.838069798870036,1,1,1,1,1,1,1,1,1,1,1,1
20-25,omicron,0.858164320099049,0.9325476005694101,1,0.859856419113565,0.859856419113565,0.859856419113565,0.859856419113565,1,1,1,1,1,1,1,1,1,1,1,1
25-30,omicron,0.8790282350780463,0.9534115155484073,1,0.8807203340925623,0.8807203340925623,0.8807203340925623,0.8807203340925623,1,1,1,1,1,1,1,1,1,1,1,1
30-35,omicron,0.8987172625770007,0.9731005430473618,1,0.9004093615915166,0.9004093615915166,0.9004093615915166,0.9004093615915166,1,1,1,1,1,1,1,1,1,1,1,1
35-40,omicron,0.9169329387116887,0.99131621918205,1,0.9186250377262049,0.9186250377262049,0.9186250377262049,0.9186250377262049,1,1,1,1,1,1,1,1,1,1,1,1
40-45,omicron,0.9331553169619247,1,1,0.9348474159764409,0.9348474159764409,0.9348474159764409,0.9348474159764409,1,1,1,1,1,1,1,1,1,1,1,1
45-50,omicron,0.9463900105606393,1,1,0.9480821095751554,0.9480821095751554,0.9480821095751554,0.9480821095751554,1,1,1,1,1,1,1,1,1,1,1,1
50-55,omicron,0.955586644559202,1,1,0.957278743573718,0.957278743573718,0.957278743573718,0.957278743573718,1,1,1,1,1,1,1,1,1,1,1,1
55-60,omicron,0.9592651387221601,1,1,0.9609572377366763,0.9609572377366763,0.9609572377366763,0.9609572377366763,1,1,1,1,1,1,1,1,1,1,1,1
60-65,omicron,0.9549821410484804,1,1,0.9566742400629965,0.9566742400629965,0.9566742400629965,0.9566742400629965,1,1,1,1,1,1,1,1,1,1,1,1
65-70,omicron,0.9390739063325529,1,1,0.940766005347069,0.940766005347069,0.940766005347069,0.940766005347069,1,1,1,1,1,1,1,1,1,1,1,1
70-75,omicron,0.9100048795375013,0.9843881600078624,1,0.9116969785520174,0.9116969785520174,0.9116969785520174,0.9116969785520174,1,1,1,1,1,1,1,1,1,1,1,1
75+,omicron,0.8179110568844357,0.8922943373547968,1,0.8196031558989518,0.8196031558989518,0.8196031558989518,0.8196031558989518,1,1,1,1,1,1,1,1,1,1,1,1
