ageGroup,virus,u_death,R0,u_incubation,u_recovery,disability_weighting,u_death_natural,u_transmission
65-70,Rs4084,0.0018717521541870407,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07800547537742562
70-75,Rs4084,0.002850105916406515,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07954659355013322
75+,Rs4084,0.005878204790913614,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.08431650233412123
0-5,GX/P1E,3.636988735910405e-6,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.0750627911037369
5-10,GX/P1E,5.898971833644324e-6,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07506635421494769
10-15,GX/P1E,9.555650102334318e-6,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07507211427184043
15-20,GX/P1E,1.5748769987530132e-5,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07508186977130228
20-25,GX/P1E,2.551791787149517e-5,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07509725828608829
25-30,GX/P1E,4.1329172463941244e-5,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07512216442201444
30-35,GX/P1E,6.702967755666855e-5,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07516264826024932
35-40,GX/P1E,1.0903401989542324e-4,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07522881415832289
40-45,GX/P1E,1.7799627469253232e-4,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07533744458241161
45-50,GX/P1E,2.8885029894753296e-4,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07551206357800845
50-55,GX/P1E,4.647775465914023e-4,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07578918693449592
55-60,GX/P1E,7.424133989759277e-4,1.575,0.216919739696312,0.04761905,0.133,2.9702931506849318e-5,0.07622652327849311
