ageGroup,virus,V1,V2,V3,SARS2W,SARS2A,SARS2D,SARS2O,V1_SARS2W,V1_SARS2A,V1_SARS2D,V1_SARS2O,V2_SARS2W,V2_SARS2A,V2_SARS2D,V2_SARS2O,V3_SARS2W,V3_SARS2A,V3_SARS2D,V3_SARS2O
70-75,GX/P1E,0.9404617323895805,0.997877643556734,1,0.9973050074817991,0.9973050074817991,0.9973050074817991,0.9973050074817991,1,1,1,1,1,1,1,1,1,1,1,1
75+,GX/P1E,0.848367909736515,0.9148756319569807,1,0.9132098134135678,0.9132098134135678,0.9132098134135678,0.9132098134135678,1,1,1,1,1,1,1,1,1,1,1,1
0-5,SARS-CoV-1,0.7678401466219014,0.8422234274581014,0.9998511948464438,0.7695322456219016,0.7695322456219016,0.7695322456219016,0.7695322456219016,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438,0.9998511948464438
5-10,SARS-CoV-1,0.7905525365941936,0.8649358174303934,1,0.7922446355941937,0.7922446355941937,0.7922446355941937,0.7922446355941937,1,1,1,1,1,1,1,1,1,1,1,1
10-15,SARS-CoV-1,0.8132102487591623,0.8875935295953622,1,0.8149023477591625,0.8149023477591625,0.8149023477591625,0.8149023477591625,1,1,1,1,1,1,1,1,1,1,1,1
15-20,SARS-CoV-1,0.8363776997075989,0.9107609805437988,1,0.8380697987075991,0.8380697987075991,0.8380697987075991,0.8380697987075991,1,1,1,1,1,1,1,1,1,1,1,1
20-25,SARS-CoV-1,0.8581643199511281,0.9325476007873279,1,0.8598564189511281,0.8598564189511281,0.8598564189511281,0.8598564189511281,1,1,1,1,1,1,1,1,1,1,1,1
25-30,SARS-CoV-1,0.8790282349301254,0.9534115157663252,1,0.8807203339301254,0.8807203339301254,0.8807203339301254,0.8807203339301254,1,1,1,1,1,1,1,1,1,1,1,1
30-35,SARS-CoV-1,0.8987172624290798,0.9731005432652795,1,0.9004093614290798,0.9004093614290798,0.9004093614290798,0.9004093614290798,1,1,1,1,1,1,1,1,1,1,1,1
35-40,SARS-CoV-1,0.9169329385637679,0.9913162193999676,1,0.9186250375637679,0.9186250375637679,0.9186250375637679,0.9186250375637679,1,1,1,1,1,1,1,1,1,1,1,1
40-45,SARS-CoV-1,0.9331553168140039,1,1,0.9348474158140039,0.9348474158140039,0.9348474158140039,0.9348474158140039,1,1,1,1,1,1,1,1,1,1,1,1
45-50,SARS-CoV-1,0.9463900104127184,1,1,0.9480821094127184,0.9480821094127184,0.9480821094127184,0.9480821094127184,1,1,1,1,1,1,1,1,1,1,1,1
50-55,SARS-CoV-1,0.9555866444112808,1,1,0.957278743411281,0.957278743411281,0.957278743411281,0.957278743411281,1,1,1,1,1,1,1,1,1,1,1,1
55-60,SARS-CoV-1,0.9592651385742392,1,1,0.9609572375742393,0.9609572375742393,0.9609572375742393,0.9609572375742393,1,1,1,1,1,1,1,1,1,1,1,1
60-65,SARS-CoV-1,0.9549821409005594,1,1,0.9566742399005597,0.9566742399005597,0.9566742399005597,0.9566742399005597,1,1,1,1,1,1,1,1,1,1,1,1
65-70,SARS-CoV-1,0.9390739061846319,1,1,0.9407660051846322,0.9407660051846322,0.9407660051846322,0.9407660051846322,1,1,1,1,1,1,1,1,1,1,1,1
70-75,SARS-CoV-1,0.9100048793895803,0.9843881602257804,1,0.9116969783895805,0.9116969783895805,0.9116969783895805,0.9116969783895805,1,1,1,1,1,1,1,1,1,1,1,1
75+,SARS-CoV-1,0.8179110567365148,0.8922943375727147,1,0.819603155736515,0.819603155736515,0.819603155736515,0.819603155736515,1,1,1,1,1,1,1,1,1,1,1,1
